,Company_Brand,Sector,Stage,Amount($),City,HeadQuarter,What_it_does,Year,Founded,Founders,Investor
666,Loop Health,Energy,Seed,2300000.0,Pune,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,2017.0,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures"
667,NeoDocs,Energy,Pre-seed,3000000.0,Mumbai,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,2020.0,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund
668,The ePlane,Energy,Seed,3000000.0,Chennai,Chennai,Transforming the mobility landscape using aerial transport.,2020,2016.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest
669,TagMango,Energy,Seed,700000.0,Mumbai,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,2019.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin"
670,The New Shop,Retail,Seed,500000.0,New Delhi,New Delhi,The New Shop is a chain of high speed retail stores,2020,2019.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator
671,MobiKwik,Finance,Unknown,7000000.0,Gurgaon,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services. Bipin Singh, Upasana Taku",2020,2009.0,"Hindustan Media Venture, Nicolas Jarrosson",Undisclosed
672,DebugsBunny,Education,Unknown,100000.0,Pune,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers. Sumit Sanjay Singare,2020,2020.0,India Angel Fund,Undisclosed
673,BHIVE Investech,Energy,Seed,1000000.0,Bangalore,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,2014.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures
674,Rivigo,Energy,Unknown,19000000.0,Gurgaon,Gurgaon,"Rivigo is a technology-enabled logistics platform provider that offers transport services. Deepak Garg, Gazal Kalra",2020,2014.0,"Elevation Capital, Trifecta Capital Advisors",Undisclosed
675,ZipLoan,Finance,Unknown,3000000.0,New Delhi,New Delhi,"ZipLoan is a online lending platform KSHITIJ Puri, Shalabh Singhal",2020,2015.0,"Stride Ventures, Matrix Partners India",Undisclosed
676,Swipez,Finance,Unknown,3000000.0,Pune,Pune,Swipez is a payment collection platform. Vivek Iyer,2020,2014.0,"9Unicorns, Anicut",Undisclosed
677,Humus,Energy,Unknown,3000000.0,Bangalore,Bangalore,"Farmgate to Retail outlet Agri-Fresh produce supply chain Manjunatha T N, Shilpa Gopalaiah",2020,2019.0,"Venture Catalysts, 9Unicorns, We Founders Circle.",Undisclosed
678,Artivatic.ai,Energy,Unknown,3000000.0,Bangalore,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims. Layak Singh",2020,2017.0,"SenseAI Ventures, Saurabh Chugh",Undisclosed
